Regisoft Contabilidad y Gestión;;;;;;;;;;;1 / 1;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
EPL CONSULTORES SRL, Av. Dr. Honorio Pueyrredon 328 - Dto:8, 1405 CABA, Capital.  Responsable Inscripto 30-71193999-3;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Cuentas Corrientes en Pesos y en Dólares (pesificados);;;;;;;;;;;;;;;
Fecha: 31/12/2026;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Nombre o Razón Social;;;;Cli/Prov;;Saldo;;Vencido;No Vencido;;;Diferencia (*);;;
30-52297151-7  APDIS  (RI);;;;C;;89.491,60;;89.547,60;;;;-56,00;;;
30-71522936-2  ASSISTENCIAL SALUD S.A.  (RI);;;;C;;9.042.782,47;;9.415.946,47;;;;-373.164,00;;;
33-52208216-9  CAMPSIC  (RI);;;;C;;34.848,00;;83.248,00;;;;-48.400,00;;;
30-53331924-2  FATERYH  (E);;;;C;;11.699.176,07;;11.699.176,07;;;;;;;
33-68915085-9  GEA S.A.  (RI);;;;C;;1.649.186,69;;1.657.372,49;;;;-8.185,80;;;
30-71707621-0  MEDICAL SERVICIOS DE SALUD SRL  (RI);;;;C;;8.196.667,27;;8.196.667,27;;;;;;;
30-69087329-6  O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO  (E);;;;C;;4.013.335,17;;4.016.824,17;;;;-3.489,00;;;
30-68373359-4  OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA  (E);;;;C;;13.502.010,06;;13.502.010,06;;;;;;;
30-55024530-9  OMINT S.A.  (RI);;;;C;;1.250.656,00;;1.250.656,00;;;;;;;
30-62425407-0  OS PRENSA ROSARIO  (E);;;;C;;4.669.217,47;;4.669.217,47;;;;;;;
30-65635676-2  OSBARA  (E);;;;C;;50.783,70;;50.783,70;;;;;;;
30-59965970-2  OSPERYH  (E);;;;C;;109.522.209,83;;109.522.209,83;;;;;;;
30-59545956-3  OSPERYHRA  (E);;;;C;;10.519.636,23;;10.519.636,23;;;;;;;
30-60956813-1  OSPILM  (E);;;;C;;9.396.839,41;;9.396.839,41;;;;;;;
30-52954331-6  SUTERH  (E);;;;C;;7.118.469,63;;7.118.469,63;;;;;;;
   TOTAL;;;;;;190.755.309,59;;191.188.604,39;0,00;;;-433.294,80;;;
;;;;;;;;;;;;;;;
;(*) corresponde a los cobros y pagos pendientes de ser imputados a sus respectivos comprobantes de ventas y compras.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
